"Package"|"Version"|"Priority"|"Depends"|"Imports"|"LinkingTo"|"Suggests"|"Enhances"|"License"|"License_is_FOSS"|"License_restricts_use"|"OS_type"|"Archs"|"MD5sum"|"NeedsCompilation"|"File"|"Repository"
"distrTEst"|"2.6"|NA|"R(>= 2.6.0), methods, graphics, setRNG(>= 2006.2-1),
distrSim(>= 2.2)"|"startupmsg, utils"|NA|"distrEx(>= 2.2)"|NA|"LGPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"distrTeach"|"2.6.1"|NA|"R(>= 2.2.0), methods, distr(>= 2.2), distrEx(>= 2.2)"|"startupmsg, grDevices, graphics, stats"|NA|"tcltk"|NA|"LGPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"distr"|"2.6"|NA|"R(>= 2.14.0), methods, graphics, startupmsg, sfsmisc,
SweaveListingUtils"|"stats, grDevices, utils, MASS"|NA|"distrEx, svUnit (>= 0.7-11)"|NA|"LGPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"distrom"|"0.3-3"|NA|"R (>= 2.15), Matrix, gamlr, parallel, methods, stats"|NA|NA|"MASS, textir"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"divagis"|"1.0.0"|NA|"rgdal, sp"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"diveMove"|"1.4.1"|NA|"R (>= 2.13.0), methods, stats4"|"caTools, KernSmooth, quantreg, geosphere"|NA|"lattice, tcltk"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"diveRsity"|"1.9.89"|NA|"R (>= 3.0.0)"|"ggplot2, shiny, qgraph, Rcpp, methods, stats, grid"|"Rcpp"|"xlsx, sendplot, plotrix, parallel, HWxtest"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"diverse"|"0.1.2"|NA|"proxy, reshape2, foreign, stats"|NA|NA|"pheatmap, igraph, entropart"|NA|"CC BY-SA 4.0"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"diversitree"|"0.9-8"|NA|"R (>= 2.10), methods, ape"|"deSolve (>= 1.7), graphics, grDevices, stats, subplex, Rcpp
(>= 0.10.0)"|"Rcpp"|"numDeriv, minqa, lubridate, expm, caper, geiger"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"divo"|"0.1.2"|NA|"R (>= 3.1.0), RcppCNPy, cluster"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dixon"|"0.0-5"|NA|"splancs, spatstat"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dkDNA"|"0.1.1"|NA|NA|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dlm"|"1.1-4"|NA|NA|NA|NA|"MASS"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dlmap"|"1.13"|NA|"qtl, ibdreg, wgaim, nlme, mgcv"|NA|NA|"asreml"|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dlmodeler"|"1.4-2"|NA|"R (>= 2.15.0)"|"KFAS (>= 1.0.2)"|NA|"dlm (>= 1.1-3), FKF (>= 0.1.2)"|NA|"GPL (>= 2) | BSD_2_clause + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dlnm"|"2.2.6"|NA|"R (>= 3.2)"|"stats, graphics, grDevices, utils, splines, nlme, mgcv,
tsModel"|NA|"survival, lme4, gee, geepack, mvmeta"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dlsem"|"1.3.1"|NA|"Matrix, graph, gRbase, Rgraphviz"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dlstats"|"0.0.8"|NA|"R (>= 3.3.0)"|"jsonlite, magrittr, utils"|NA|"ggplot2, knitr, tidyr"|NA|"Artistic-2.0"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dma"|"1.2-3"|NA|NA|"MASS, mnormt"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dml"|"1.1.0"|NA|"MASS"|"lfda"|NA|"testthat"|NA|"MIT + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dmm"|"1.7-1"|NA|"MASS, Matrix, nadiv, robustbase, pls"|"stats, graphics, grDevices"|NA|NA|NA|"GPL-2 | GPL (>= 2) | GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dmt"|"0.8.20"|NA|"R (>= 2.15.0), methods, mvtnorm, MASS"|"Matrix"|NA|NA|NA|"BSD_2_clause + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dna"|"1.1-1"|NA|"R (>= 3.0.0)"|"methods"|NA|"igraph, lars"|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dnc"|"1.2"|NA|"R (>= 3.2.3)"|"Rcpp (>= 0.12.4), igraph, MCMCpack, vegan, skmeans, plot3D,
plot3Drgl, BayesLogit, movMF, tcltk, stats, grDevices, graphics"|"Rcpp, RcppArmadillo"|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dnet"|"1.0.9"|NA|"R (>= 3.1.0), igraph, supraHex"|"graph, Rgraphviz, Matrix, Biobase"|NA|"limma, survival, foreach, doMC"|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"doBy"|"4.5-15"|NA|"R (>= 3.2.0), methods"|"MASS, Matrix"|NA|"pbkrtest (>= 0.4-6), ggplot2, multcomp, geepack, lme4,
survival"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"doFuture"|"0.2.1"|NA|"future (>= 1.0.1), foreach (>= 1.4.3), iterators (>= 1.0.8)"|NA|NA|"doRNG (>= 1.6), markdown, R.rsp"|NA|"LGPL (>= 2.1)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"doMPI"|"0.2.1"|NA|"R (>= 2.14.0), foreach(>= 1.3.0), iterators(>= 1.0.0), Rmpi(>=
0.5-7)"|"parallel, compiler, utils"|NA|"randomForest, itertools"|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"doParallel"|"1.0.10"|NA|"R (>= 2.14.0), foreach(>= 1.2.0), iterators(>= 1.0.0),
parallel, utils"|NA|NA|"caret, mlbench, rpart"|"compiler, RUnit"|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"doRedis"|"1.1.1"|NA|"R (>= 2.5), rredis (>= 1.6.8), foreach(>= 1.3.0), iterators(>=
1.0.0), utils"|NA|NA|"boot"|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"doSNOW"|"1.0.14"|NA|"R (>= 2.5.0), foreach(>= 1.2.0), iterators(>= 1.0.0), snow(>=
0.3.0), utils"|NA|NA|"compiler, RUnit, caret, mlbench, rpart"|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"docopt"|"0.4.5"|NA|"methods"|"stringr"|NA|"testthat"|NA|"MIT + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"docopulae"|"0.3.3"|NA|"R (>= 3.1.2)"|"graphics, grDevices, methods, stats, utils"|NA|"copula, numDeriv, Deriv (>= 3.6.1), cubature, SparseGrid,
mvtnorm, testthat"|NA|"MIT + file LICENSE"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"documair"|"0.6-0"|NA|NA|NA|NA|NA|NA|"GPL (>= 2.15)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"docxtractr"|"0.2.0"|NA|"R (>= 3.0.0)"|"tools, xml2, tibble, purrr, dplyr, utils"|NA|"testthat"|NA|"MIT + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"domino"|"0.2-7"|NA|NA|NA|NA|NA|NA|"MIT + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dosresmeta"|"1.3.3"|NA|"mvmeta, aod, Matrix"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dostats"|"1.3.2"|NA|"R (>= 2.12.0)"|"stats"|NA|"plyr, testthat"|NA|"GPL (>= 3)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dotenv"|"1.0.1"|NA|NA|NA|NA|NA|NA|"MIT + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dotwhisker"|"0.2.2"|NA|"R (>= 3.2.0), ggplot2, gridExtra, gtable"|"grid, stats, broom, plyr, dplyr, stringr"|NA|"mfx, ordinal, knitr"|NA|"MIT + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"downloader"|"0.4"|NA|NA|"utils, digest"|NA|"testthat"|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"downscale"|"1.2-2"|NA|"raster (>= 2.4-20), R (>= 3.0.0)"|"cubature (>= 1.1-2), graphics, grDevices, methods, minpack.lm
(>= 1.1-9), Rmpfr (>= 0.5-7), sp (>= 1.2-0), stats"|NA|"rgeos, rgbif (>= 0.9.2),"|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dpa"|"1.0-3"|NA|"R (>= 2.9.0), tcltk, sem, igraph"|NA|NA|NA|NA|"LGPL (>= 2.0)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dpcR"|"0.3"|NA|"R (>= 3.0.0), methods"|"binom, chipPCR, e1071, dgof, multcomp, qpcR, pracma,
rateratio.test, readxl, signal, shiny, spatstat"|NA|"DT, ggplot2, knitr, markdown, rmarkdown, shinythemes, xtable"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dpglasso"|"1.0"|NA|NA|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dplRCon"|"1.0"|NA|"R (>= 2.10)"|NA|NA|NA|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dplR"|"1.6.4"|NA|"R (>= 2.15.2)"|"graphics, grDevices, grid, stats, utils, lattice (>= 0.13-6),
Matrix (>= 1.0-3), digest (>= 0.2.3), gmp (>= 0.5-5),
matrixStats (>= 0.50.0), png (>= 0.1-1), R.utils (>= 1.32.0),
stringi (>= 0.2-2), stringr (>= 0.4), XML (>= 2.1-0)"|NA|"Biobase, Cairo (>= 1.5-0), dichromat (>= 1.2-3), foreach,
forecast, iterators, knitr, RColorBrewer, testthat (>= 0.8),
tikzDevice, waveslim"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dplyr"|"0.5.0"|NA|"R (>= 3.1.2)"|"assertthat, utils, R6, Rcpp (>= 0.12.3), tibble, magrittr,
lazyeval (>= 0.1.10), DBI (>= 0.4.1)"|"Rcpp (>= 0.12.0), BH (>= 1.58.0-1)"|"RSQLite (>= 1.0.0), RMySQL, RPostgreSQL, testthat, knitr,
microbenchmark, ggplot2, mgcv, Lahman (>= 3.0-1), nycflights13,
methods, rmarkdown, covr, dtplyr"|NA|"MIT + file LICENSE"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dpmixsim"|"0.0-8"|NA|"R (>= 2.10.0), oro.nifti, cluster"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dpmr"|"0.1.9"|NA|NA|"digest, httr, jsonlite, magrittr, rio"|NA|"devtools, testthat"|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dprep"|"3.0.2"|NA|"R (>= 3.1.0), graphics, stats"|"MASS, e1071, class, nnet, rpart, FNN, StatMatch, rgl, methods"|NA|NA|NA|"GPL"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"drLumi"|"0.1.2"|NA|"R (>= 3.2.2)"|"reshape, Hmisc, chron, gdata, plyr, stringr, ggplot2,
minpack.lm, stats, irr, rootSolve, msm"|NA|"knitr, testthat, xtable"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dr"|"3.0.10"|NA|"MASS"|"stats,graphics"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"drat"|"0.1.1"|NA|"R (>= 3.2.0)"|"utils"|NA|"git2r, knitr"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"drawExpression"|"1.0"|NA|"R (>= 2.9.0), grid"|NA|NA|NA|NA|"BSD"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"drc"|"3.0-1"|NA|"R (>= 2.0.0), MASS, stats"|"car, gtools, multcomp, plotrix, scales"|NA|NA|NA|"GPL-2 | file LICENCE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"drfit"|"0.6.7"|NA|NA|"graphics, grDevices, MASS, drc"|NA|"RODBC"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"drgee"|"1.1.5"|NA|"stats, nleqslv, survival, R (>= 3.0.0), Rcpp, data.table"|NA|"Rcpp, RcppArmadillo"|NA|NA|"GPL-2 | GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"drm"|"0.5-8"|NA|"R(>= 1.0)"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"drmdel"|"1.3.1"|NA|"R (>= 2.11)"|NA|NA|NA|NA|"GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dropR"|"0.1"|NA|"R (>= 3.0.0)"|"plyr,shiny"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"drsmooth"|"1.9.0"|NA|"R (>= 3.0.1)"|"boot, car, mgcv, multcomp, DTK, segmented, lubridate,
pgirmess, stats"|NA|"testthat"|NA|"GPL (>= 3)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"ds"|"3.0"|NA|NA|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dsample"|"0.91.2.2"|NA|"R (>= 2.7.0)"|"stats, graphics, MASS"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dse"|"2015.12-1"|NA|"R (>= 2.5.0), tfplot"|"tframe (>= 2007.5-3), stats, utils, graphics, grDevices,
setRNG (>= 2004.4-1)"|NA|NA|NA|"GPL-2"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dslice"|"1.1.5"|NA|"R (>= 2.10), stats, utils, Rcpp (>= 0.11.1), ggplot2 (>=
0.9.3.1), scales"|NA|"Rcpp"|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dsm"|"2.2.12"|NA|"R (>= 3.0), mgcv (>= 1.7), mrds (>= 2.1.15), numDeriv"|"nlme, ggplot2, statmod"|NA|"Distance, tweedie"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dst"|"0.3"|NA|NA|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dtables"|"0.0.1"|NA|"R (>= 3.2.2)"|"psych"|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dti"|"1.2-6"|NA|"R (>= 3.1.0), awsMethods (>= 1.0-1), adimpro, rgl"|"methods, parallel, oro.nifti (>= 0.3.9), oro.dicom, gsl,
quadprog"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dtplyr"|"0.0.1"|NA|NA|"dplyr (>= 0.5.0), data.table, lazyeval"|NA|"Lahman, nycflights13, testthat, covr"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dtt"|"0.1-2"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dtwSat"|"0.2.1"|NA|"R (>= 3.2.0), zoo, raster, ggplot2"|"methods, rgdal, dtw, proxy, scales, reshape2, grDevices,
RColorBrewer, plyr, stats, parallel, sp, lubridate, caret, mgcv"|NA|"testthat, knitr, rmarkdown, rticles, gridExtra, grid, png,
Hmisc, xtable, tikzDevice"|NA|"GPL (>= 2) | file LICENSE"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dtw"|"1.18-1"|NA|"R (>= 2.10.0), proxy"|"graphics, grDevices, stats, utils"|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dtwclust"|"2.2.1"|NA|"R (>= 3.2.0), proxy (>= 0.4-16), dtw, ggplot2"|"stats, utils, methods, parallel, rngtools, flexclust, caTools,
reshape2, foreach, Rcpp"|"Rcpp"|"TSdist, TSclust, doParallel, testthat, knitr"|NA|"GPL-3"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dualScale"|"0.9.1"|NA|"matrixcalc, ff, vcd, lattice, Matrix"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dummies"|"1.5.6"|NA|"utils"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dummy"|"0.1.3"|NA|NA|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dunn.test"|"1.3.2"|NA|NA|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dupiR"|"1.2"|NA|"R (>= 2.15.1), methods, plotrix"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dvfBm"|"1.0"|NA|"wmtsa"|NA|NA|NA|NA|"GPL (>= 2.0)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dvn"|"0.3.5"|NA|NA|"utils, RCurl, XML"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dygraphs"|"1.1.1.2"|NA|"R (>= 3.0)"|"magrittr, htmlwidgets (>= 0.6), htmltools (>= 0.3.5), zoo (>=
1.7-10), xts (>= 0.9-7)"|NA|"testthat"|"rmarkdown (>= 0.3.3), shiny (>= 0.10.2.1)"|"MIT + file LICENSE"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dynBiplotGUI"|"1.1.3"|NA|"R (>= 2.15.0)"|"tcltk, tcltk2 (>= 1.2-10), tkrplot (>= 0.0-23)"|NA|"foreign (>= 0.8-61), xlsx (>= 0.5.7)"|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dynCorr"|"0.1-2"|NA|"lpridge"|NA|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dynRB"|"0.8"|NA|NA|"caTools, corrplot"|NA|"testthat"|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dyn"|"0.2-9"|NA|"R (>= 2.6.0), zoo (>= 1.0-0)"|NA|NA|"its (>= 1.0.9), lattice, MASS, MCMCpack, quantreg (>= 3.82),
randomForest, sandwich, tseries"|NA|"GPL"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dynaTree"|"1.2-9"|NA|"R (>= 2.14.0), methods"|NA|NA|"akima, tgp, plgp, MASS"|NA|"LGPL"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dynamicGraph"|"0.2.2.6"|NA|"R (>= 1.8.1), methods, ggm, tcltk"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dynamicTreeCut"|"1.63-1"|NA|"R (>= 2.3.0), stats"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dynatopmodel"|"1.1"|NA|"R (>= 2.10),"|"deSolve, rgeos, maptools, rgdal, zoo, xts, sp, raster,
lubridate, topmodel, methods, grDevices, stats, utils,
graphics, tools"|NA|NA|NA|"GPL-2"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dynia"|"0.2"|NA|"R (>= 2.0.0)"|NA|NA|NA|NA|"GPL (>= 2)"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dynlm"|"0.3-5"|NA|"R (>= 2.10.0), zoo"|"stats, car (>= 2.0-0), lmtest"|NA|"datasets, sandwich, strucchange, TSA"|NA|"GPL-2 | GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dynpanel"|"0.1.0"|NA|"R (>= 3.3.0)"|"stats, gtools"|NA|NA|NA|"GPL-3"|NA|NA|NA|NA|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dynpred"|"0.1.2"|NA|"survival"|"graphics, stats, utils"|NA|"mstate"|NA|"GPL (>= 2)"|NA|NA|NA|"i386, x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
"dynr"|"0.1.7"|NA|"R (>= 3.0.0), methods, ggplot2"|"numDeriv, xtable, latex2exp, grid, reshape2, plyr"|NA|"testthat, roxygen2 (>= 3.1)"|NA|"Apache License (== 2.0)"|NA|NA|NA|"x64"|NA|NA|NA|"http://nbcgib.uesc.br/mirrors/cran/bin/windows/contrib/3.3"
